timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559589.730551000,1466, 8188, 14.48, 55, 0
1773559590.929461666,1466, 8188, 14.45, 55, 0
1773559592.128447210,1466, 8188, 28.01, 60, 95
1773559593.333251630,1466, 8188, 54.74, 62, 95
1773559594.533901156,1466, 8188, 54.74, 63, 95
1773559595.728531380,1466, 8188, 54.98, 63, 95
1773559596.936784733,1466, 8188, 55.09, 64, 95
1773559598.151042383,1466, 8188, 54.99, 64, 95
1773559599.354197100,1466, 8188, 54.90, 65, 95
1773559600.550884417,1466, 8188, 54.82, 65, 91
1773559601.743550110,1466, 8188, 54.94, 65, 95
1773559602.945091260,1466, 8188, 54.88, 66, 95
1773559604.154130533,1466, 8188, 55.00, 66, 95
1773559605.352692057,1466, 8188, 54.87, 66, 95
1773559606.553284464,1466, 8188, 54.92, 67, 95
1773559607.752243927,1466, 8188, 54.81, 67, 91
1773559608.951394201,1466, 8188, 54.78, 67, 91
1773559610.155777298,1466, 8188, 55.14, 68, 95
1773559611.368805111,1466, 8188, 54.87, 68, 95
1773559612.572759917,1466, 8188, 31.90, 62, 0
1773559613.772269459,1466, 8188, 21.33, 62, 0
1773559614.974210579,1466, 8188, 15.26, 61, 0
1773559616.179336887,1466, 8188, 15.25, 60, 0
1773559617.376831095,1466, 8188, 15.24, 60, 0
1773559618.574498177,1466, 8188, 15.21, 59, 0
