Generating SQLite file /tmp/nsys-yoga-llamacpp-c1-20260316.sqlite from /tmp/nsys-yoga-llamacpp-c1-20260316.nsys-rep
Processing [/tmp/nsys-yoga-llamacpp-c1-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     47.0       13,503,563        166   81,346.8   32,160.0     8,544   168,671     70,323.6  void mul_mat_q<(ggml_type)12, (int)80, (bool)0>(const char *, const int *, const int *, const int *…
     12.3        3,540,787        140   25,291.3   10,160.0     3,232   107,967     29,389.6  void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *…
      9.2        2,631,732         27   97,471.6   20,096.0    16,032   182,111     82,492.0  void mul_mat_q<(ggml_type)14, (int)80, (bool)0>(const char *, const int *, const int *, const int *…
      6.5        1,856,280          2  928,140.0  928,140.0   921,116   935,164      9,933.4  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *…
      3.1          894,396         29   30,841.2   54,400.0     3,552    73,888     26,977.1  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *…
      3.0          855,288        114    7,502.5    3,360.0     3,135    12,384      4,476.4  void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float…
      2.8          810,877         28   28,959.9   28,960.0    28,768    29,120         75.4  void flash_attn_stream_k_fixup<(int)128, (int)8, (int)8>(float *, const float2 *, int, int, int, in…
      2.6          739,517         28   26,411.3   26,400.0    25,888    26,848        204.7  void flash_attn_ext_f16<(int)128, (int)128, (int)8, (int)8, (bool)0, (bool)0>(const char *, const c…
      2.4          697,245         27   25,823.9   25,952.0    24,992    26,816        566.6  void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)   
      2.3          673,472        166    4,057.1    3,265.0     3,168    12,576      2,580.3  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long, long, long,…
      2.3          657,534         96    6,849.3    5,264.0     5,120     9,152      1,880.6  void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)80, (bool)0>(const int *, const int *, float *, c…
      1.8          529,178        140    3,779.8    4,352.0     1,472     6,240      1,560.7  void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, in…
      1.4          402,462        112    3,593.4    1,952.0     1,376     9,312      3,197.0  void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int,…
      0.8          240,316        172    1,397.2    1,376.0     1,343     1,664         65.5  quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)             
      0.7          201,924        112    1,802.9    1,856.5     1,408     2,304        346.0  void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, lo…
      0.7          197,441         27    7,312.6    3,200.0     3,104    11,840      4,399.9  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long, long, long,…
      0.4          126,591         28    4,521.1    4,512.0     4,384     4,896        109.4  void flash_attn_ext_vec<(int)128, (int)1, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const …
      0.4          124,608         14    8,900.6    8,896.0     8,832     9,024         50.0  void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)80, (bool)0>(const int *, const int *, float *, c…
      0.2           45,826         28    1,636.6    1,632.0     1,600     1,696         16.8  void flash_attn_combine_results<(int)128>(const float *, const float2 *, float *, int)              
      0.0            9,216          1    9,216.0    9,216.0     9,216     9,216          0.0  void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *…
      0.0            7,231          4    1,807.8    1,808.0     1,727     1,888         92.7  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, long, unsigned long,…
      0.0            3,264          2    1,632.0    1,632.0     1,088     2,176        769.3  void cpy_scalar_contiguous<float, __half>(const char *, char *, long)                               

