/tmp/nsys-yoga-llamacpp-c4-20260316.nsys-rep

NOTICE: Existing SQLite export found: /tmp/nsys-yoga-llamacpp-c4-20260316.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-llamacpp-c4-20260316.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-llamacpp-c4-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)              Name             
 --------  ---------------  ---------  ---------  ---------  --------  ----------  -----------  -----------------------------
     97.0   37,869,352,106     98,100  386,028.1      464.0       321  55,897,176  1,906,990.4  cudaStreamSynchronize        
      1.8      683,973,480    333,871    2,048.6    2,261.0       332   2,070,499      3,758.7  cudaLaunchKernel             
      0.8      309,018,761      3,579   86,342.2   82,924.0    40,569     208,760     18,346.5  cudaGraphLaunch_v10000       
      0.3      105,762,924     27,467    3,850.5    3,087.0       111      39,825      2,286.8  cudaMemcpyAsync              
      0.1       28,031,326        103  272,148.8  142,381.0     6,420     602,630    187,846.5  cudaGraphExecUpdate_v10020   
      0.1       27,499,898        103  266,989.3  250,058.0   214,386     435,359     48,654.8  cudaGraphDestroy_v10000      
      0.0        2,417,317        103   23,469.1   23,503.0    15,592      34,535      3,237.1  cudaStreamEndCapture_v10000  
      0.0        2,225,375        103   21,605.6   20,758.0     8,406      40,282      6,953.3  cudaStreamBeginCapture_v10000
      0.0        1,864,470          2  932,235.0  932,235.0   894,203     970,267     53,785.4  cudaGraphInstantiate_v12000  
      0.0        1,752,230          2  876,115.0  876,115.0   590,509   1,161,721    403,907.9  cudaGraphExecDestroy_v10000  
      0.0          126,048          2   63,024.0   63,024.0    49,471      76,577     19,166.8  cuMemSetAccess               
      0.0          108,185          2   54,092.5   54,092.5    38,817      69,368     21,602.8  cuMemCreate                  
      0.0            7,225          2    3,612.5    3,612.5     2,553       4,672      1,498.4  cuMemMap                     
      0.0              375          2      187.5      187.5       136         239         72.8  cuMemRelease                 

