Generating SQLite file /tmp/nsys-yoga-llamacpp-c4-20260316.sqlite from /tmp/nsys-yoga-llamacpp-c4-20260316.nsys-rep
Processing [/tmp/nsys-yoga-llamacpp-c4-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     21.0      549,486,164     14,618   37,589.7   16,064.0     4,736     83,200     32,192.7  void mul_mat_vec_q<(ggml_type)12, (int)4, (bool)0, (bool)0>(const void *, const void *, const int *…
     17.0      445,781,841     18,070   24,669.7   10,208.0     3,136     79,007     28,485.6  void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *…
     11.0      288,918,268     10,080   28,662.5   12,352.0     3,455     61,568     24,387.1  void mul_mat_vec_q<(ggml_type)12, (int)3, (bool)0, (bool)0>(const void *, const void *, const int *…
      9.8      255,752,120     11,088   23,065.7    9,984.0     3,136     47,328     19,111.2  void mul_mat_vec_q<(ggml_type)12, (int)2, (bool)0, (bool)0>(const void *, const void *, const int *…
      7.1      186,488,405      2,525   73,856.8   56,959.0     4,128  1,254,748    225,440.0  void mul_mat_vec_q<(ggml_type)14, (int)4, (bool)0, (bool)0>(const void *, const void *, const int *…
      4.6      119,669,926        130  920,537.9  920,523.5   919,644    921,500        383.8  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *…
      4.4      114,040,969      1,914   59,582.5   54,687.5     3,392    903,196    161,271.4  void mul_mat_vec_q<(ggml_type)14, (int)2, (bool)0, (bool)0>(const void *, const void *, const int *…
      4.3      112,945,926      1,740   64,911.5   55,136.0     3,840  1,046,013    187,019.6  void mul_mat_vec_q<(ggml_type)14, (int)3, (bool)0, (bool)0>(const void *, const void *, const int *…
      4.1      106,509,113      3,640   29,260.7   29,168.0     3,424     56,736     25,646.0  void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *…
      3.5       92,668,916     63,935    1,449.4    1,408.0     1,312      2,112        160.6  quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)             
      2.5       64,186,978     19,663    3,264.4    3,137.0     2,976     48,736      1,955.0  void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float…
      2.0       51,691,979     30,228    1,710.1    1,728.0     1,439     22,048        731.4  void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, in…
      1.8       48,173,385      5,964    8,077.4    8,000.0     6,495     10,016      1,062.1  void flash_attn_ext_f16<(int)128, (int)128, (int)1, (int)8, (bool)0, (bool)0>(const char *, const c…
      1.3       34,671,231        166  208,862.8   77,823.0    18,688    439,294    185,216.2  void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int …
      1.1       28,628,990     19,320    1,481.8    1,472.0     1,375      4,608        178.0  void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, lo…
      1.1       28,427,311     19,320    1,471.4    1,408.0     1,343     28,384      1,011.4  void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int,…
      0.6       16,933,475      5,964    2,839.3    2,880.0     2,687      3,009         94.9  void flash_attn_stream_k_fixup<(int)128, (int)1, (int)8>(float *, const float2 *, int, int, int, in…
      0.6       16,543,611      6,019    2,748.6    1,728.0     1,472    227,903     14,922.2  void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)   
      0.6       16,479,747      3,640    4,527.4    4,512.0     4,352      5,216         95.4  void flash_attn_ext_vec<(int)128, (int)1, (ggml_type)1, (ggml_type)1, (bool)0>(const char *, const …
      0.3        7,679,905      5,964    1,287.7    1,248.0     1,183      1,600         79.5  void flash_attn_mask_to_KV_max<(int)1>(const __half2 *, int *, int, int, int)                       
      0.3        6,799,566        166   40,961.2   18,992.0     7,520     82,560     32,847.2  void mul_mat_q<(ggml_type)12, (int)64, (bool)0>(const char *, const int *, const int *, const int *…
      0.3        6,728,935         27  249,219.8   37,472.0    33,664    480,190    224,753.0  void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int …
      0.2        5,984,584      3,640    1,644.1    1,632.0     1,599      1,824         22.5  void flash_attn_combine_results<(int)128>(const float *, const float2 *, float *, int)              
      0.1        2,419,672        332    7,288.2    7,167.5     2,015     58,464     10,803.7  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long, long, long,…
      0.1        2,342,009         56   41,821.6   41,776.0    16,896     66,912     24,547.1  void flash_attn_ext_f16<(int)128, (int)128, (int)8, (int)8, (bool)0, (bool)0>(const char *, const c…
      0.1        1,457,139         56   26,020.3   26,015.5    24,479     27,584      1,450.7  void flash_attn_stream_k_fixup<(int)128, (int)8, (int)8>(float *, const float2 *, int, int, int, in…
      0.1        1,375,452         27   50,942.7   15,040.0     9,888     95,680     40,756.9  void mul_mat_q<(ggml_type)14, (int)64, (bool)0>(const char *, const int *, const int *, const int *…
      0.0        1,254,085        688    1,822.8    1,792.0     1,696      2,080         83.4  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, long, unsigned long,…
