Generating SQLite file /tmp/nsys-yoga-realizr-c1-20260317.sqlite from /tmp/nsys-yoga-realizr-c1-20260317.nsys-rep
Processing [/tmp/nsys-yoga-realizr-c1-20260317.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)             Name            
 --------  ---------------  ---------  -----------  -----------  --------  ----------  -----------  ---------------------------
     98.7   31,310,476,777      4,680  6,690,272.8  6,678,350.0     6,130  13,705,946    753,068.2  cuStreamSynchronize        
      0.4      141,189,206      4,611     30,620.1     29,210.0    21,731     146,522      7,352.9  cuGraphLaunch              
      0.3       86,382,389     36,502      2,366.5      2,227.0       202      32,134        968.6  cuLaunchKernel             
      0.2       56,168,470     17,785      3,158.2      2,444.0     1,489  10,783,828     80,878.9  cuMemcpyHtoDAsync_v2       
      0.2       51,404,272      4,645     11,066.6     10,875.0     8,078     157,005      2,422.6  cuMemcpyDtoH_v2            
      0.1       36,721,713         12  3,060,142.8    101,576.0    51,230  17,892,085  5,908,771.1  cuModuleLoadDataEx         
      0.1       17,124,018      6,860      2,496.2      2,234.0     1,927      13,894        595.4  cudaLaunchKernelExC_v11060 
      0.0       12,829,827          4  3,207,456.8  3,775,342.5   725,258   4,553,884  1,731,778.1  cuLibraryLoadData          
      0.0        9,426,137      3,920      2,404.6      2,132.0     1,788      21,900        802.4  cudaLaunchKernel           
      0.0        2,836,726        983      2,885.8      2,448.0     2,216      11,298      1,139.9  cuMemcpyHtoD_v2            
      0.0        2,229,284        131     17,017.4      8,163.0     2,170     246,842     28,852.1  cuMemAlloc_v2              
      0.0          759,446        119      6,381.9      2,250.0     1,529     178,096     17,122.2  cuMemFree_v2               
      0.0          753,985          1    753,985.0    753,985.0   753,985     753,985          0.0  cuGraphInstantiateWithFlags
      0.0           68,967          1     68,967.0     68,967.0    68,967      68,967          0.0  cuGraphDestroy             
      0.0           48,007         47      1,021.4      1,044.0       101       2,710        607.2  cuCtxSetCurrent            
      0.0           17,010          1     17,010.0     17,010.0    17,010      17,010          0.0  cuStreamBeginCapture       
      0.0            5,996          1      5,996.0      5,996.0     5,996       5,996          0.0  cuStreamEndCapture         
      0.0            2,637          4        659.3        660.0       508         809        146.2  cuLibraryGetKernel         

