
NOTICE: Existing SQLite export found: /tmp/nsys-yoga-serve-c4.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-serve-c4.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-serve-c4.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     47.7    1,799,083,735     48,601     37,017.4     15,232.0      4,032     82,784     32,617.0  batched_hw_dp4a_q4k_gemv                                                                            
     21.9      827,589,981      8,101    102,159.0     96,416.0     39,200    177,664     35,496.5  batched_incremental_attention                                                                       
      9.6      360,675,458        401    899,440.0  1,121,181.0    324,672  1,125,757    357,370.3  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f…
      8.1      306,954,314      8,216     37,360.6     12,352.0      6,176     91,359     31,185.9  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize32x64x64_stage5_warpsize2x2x1_tensor16x8x32_bias_f1…
      1.6       61,723,455     32,404      1,904.8      1,696.0      1,472      5,312        558.8  q8_quantize                                                                                         
      1.6       61,172,899     16,658      3,672.3      3,584.0      3,423     18,335        722.4  batched_rmsnorm_vectorized                                                                          
      1.3       50,288,432      8,925      5,634.6      2,336.0      1,599  4,377,142     53,505.8  absmax_reduce                                                                                       
      0.9       34,739,695        197    176,343.6     37,600.0      7,263  5,737,043    423,797.5  f32_to_e4m3_scaled                                                                                  
      0.7       27,596,842      8,184      3,372.0      1,728.0      1,503    234,432     18,823.2  batched_swiglu                                                                                      
      0.7       25,854,499        168    153,895.8     40,415.5      7,712    346,367    152,504.9  q4k_dequant_to_f32                                                                                  
      0.6       23,219,501      8,980      2,585.7      1,184.0      1,119     65,024      7,146.4  f16_to_f32_act_scaled                                                                               
      0.6       22,500,999     16,368      1,374.7      1,216.0      1,151     33,599      1,936.0  batched_residual_add                                                                                
      0.6       22,126,208      8,728      2,535.1      1,759.0      1,439     85,376      6,943.6  f32_to_e4m3_device_scaled                                                                           
      0.6       21,995,034     16,370      1,343.6      1,312.0      1,215      3,840        212.4  batched_bias_broadcast_add_256                                                                      
      0.5       19,855,892         84    236,379.7    313,279.0     81,632    313,920    109,614.0  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage6_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.5       18,499,804     16,202      1,141.8      1,121.0      1,087      2,688         82.7  batched_kv_cache_scatter                                                                            
      0.3       12,165,115      8,185      1,486.3      1,376.0      1,311     11,200        796.4  batched_bias_broadcast_add_1536                                                                     
      0.3       11,086,046      8,185      1,354.4      1,248.0      1,183      9,856        699.0  batched_rope_neox_12_128                                                                            
      0.3       10,263,110         29    353,900.3    323,743.0      7,200  5,604,946  1,022,354.3  q6k_dequant_to_f32                                                                                  
      0.3        9,563,136      8,185      1,168.4      1,152.0      1,119      3,264        164.8  batched_rope_neox_2_128                                                                             
      0.2        9,280,118        504     18,412.9     18,368.0     18,272     18,848        106.7  ampere_sgemm_128x128_tn                                                                             
      0.2        9,210,728        504     18,275.3     18,272.0     18,144     18,496         68.1  ampere_sgemm_128x128_nn                                                                             
      0.2        8,270,257        224     36,920.8     37,184.0     16,384     57,536     20,113.2  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x32_bias_f1…
      0.2        7,011,698      1,273      5,508.0      5,248.0      5,151      7,968        622.9  argmax_block_reduce                                                                                 
      0.2        5,707,246         56    101,915.1    102,015.5     94,880    105,279      1,784.5  sm89_xmma_gemm_e4m3f16_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize4x2x1_tensor16x8x32_bias_…
      0.1        2,363,752      1,273      1,856.8      1,792.0      1,759      2,400        141.1  argmax_final_reduce                                                                                 
      0.0        1,636,997        252      6,496.0      6,432.0      6,240      7,520        203.4  causal_mask_softmax                                                                                 
      0.0        1,123,421          1  1,123,421.0  1,123,421.0  1,123,421  1,123,421          0.0  hw_dp4a_q6k_gemv                                                                                    
      0.0          432,634        252      1,716.8      1,664.0      1,631      2,464        154.0  scatter_packed_kv                                                                                   
      0.0            3,872          1      3,872.0      3,872.0      3,872      3,872          0.0  rmsnorm_vectorized                                                                                  

