Generating SQLite file /tmp/nsys-yoga-vllm-c1-20260316.sqlite from /tmp/nsys-yoga-vllm-c1-20260316.nsys-rep
Processing [/tmp/nsys-yoga-vllm-c1-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     98.9    3,972,624,539      1,857  2,139,270.1  2,139,222.0  2,138,294  2,140,599        445.3  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      0.4       14,136,993      1,857      7,612.8      7,616.0      7,424      7,872         71.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.2        8,035,407      1,857      4,327.1      4,351.0      4,096      4,415         47.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.2        7,949,384      1,857      4,280.8      4,256.0      4,000      4,448         55.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1        4,852,607        336     14,442.3     14,400.0     14,272     15,840        243.5  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (…
      0.1        4,068,474      1,857      2,190.9      2,176.0      1,856      9,439        178.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1        3,202,296      1,857      1,724.4      1,728.0      1,503      1,761         45.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1        2,194,491      1,857      1,181.7      1,184.0      1,151      1,376         18.5  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<cha…
      0.0          721,600        336      2,147.6      2,144.0      2,112      2,177         17.7  void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType…

