
NOTICE: Existing SQLite export found: /tmp/nsys-yoga-vllm-c4-20260316.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-vllm-c4-20260316.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-vllm-c4-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)  Min (ns)   Max (ns)   StdDev (ns)               Name              
 --------  ---------------  ---------  -----------  --------  --------  ----------  -----------  -------------------------------
     96.9   43,139,825,826     13,082  3,297,647.6  18,922.0     1,309  10,744,620  3,304,613.4  cudaEventSynchronize           
      0.9      404,980,192     52,643      7,693.0   6,360.0     2,121     313,871      4,531.8  cudaMemcpyAsync                
      0.8      376,205,132     50,487      7,451.5   6,033.0     3,332  10,094,155     46,560.5  cudaLaunchKernel               
      0.8      362,074,945     11,467     31,575.4  37,358.0     7,010     433,923     21,717.5  cudaGraphLaunch_v10000         
      0.1       44,860,140      6,539      6,860.4   6,672.0     4,697      41,380      1,463.6  cudaMemsetAsync                
      0.1       40,753,080      6,426      6,341.9   6,072.0     4,209      47,255      1,800.3  cuLaunchKernel                 
      0.1       30,468,355      6,426      4,741.4   1,101.0       646  22,872,648    285,315.0  cuKernelGetFunction            
      0.1       26,478,970     13,082      2,024.1   1,976.5       724      31,879      1,234.6  cudaEventRecord                
      0.0       18,263,997     13,689      1,334.2     940.0       252      24,250        880.8  cudaEventQuery                 
      0.0       18,088,037     13,082      1,382.7   1,384.0       425      18,407        777.6  cudaEventCreateWithFlags       
      0.0       17,704,965     31,398        563.9     539.0       158      17,920        383.1  cudaStreamIsCapturing_v10000   
      0.0       16,516,078     13,078      1,262.9     811.0       290   4,276,297     37,388.8  cudaEventDestroy               
      0.0       16,445,952     13,392      1,228.0   1,377.0       308      19,326        734.4  cudaEventRecordWithFlags_v11010
      0.0       12,813,392      6,539      1,959.5   1,879.0     1,335      20,697        655.7  cudaStreamWaitEvent            
      0.0          309,094         13     23,776.5  22,538.0     9,609      36,011      8,408.7  cudaHostAlloc                  
      0.0            1,327          1      1,327.0   1,327.0     1,327       1,327          0.0  cuLibraryGetKernel             

