
NOTICE: Existing SQLite export found: /tmp/nsys-yoga-vllm-c4-20260316.sqlite
        It is assumed file was previously exported from: /tmp/nsys-yoga-vllm-c4-20260316.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-yoga-vllm-c4-20260316.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     95.7   13,910,850,310      6,426  2,164,776.0  2,164,791.0  2,153,401  2,206,136      2,100.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Param…
      1.7      241,725,142        113  2,139,160.5  2,139,063.0  2,138,392  2,140,632        469.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      1.2      169,765,215      4,928     34,449.1     37,247.0     14,687     49,087      5,286.0  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (…
      0.5       79,078,509      6,539     12,093.4     12,384.0      4,160     12,768      1,227.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.5       78,412,442      6,539     11,991.5     12,096.0      7,456     12,416        628.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1       14,230,401      6,539      2,176.2      2,176.0      1,632      2,368         88.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1       11,498,917      6,426      1,789.4      1,760.0      1,503      2,112         75.3  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.1       11,309,712      6,539      1,729.6      1,728.0      1,440      1,920         50.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1       10,398,600      4,928      2,110.1      2,080.0      1,856      5,088        190.6  void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType…
      0.1        7,717,139      6,539      1,180.2      1,184.0      1,151      1,409         18.3  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<cha…
      0.0          588,466        562      1,047.1      1,056.0      1,023      1,089         16.7  void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<long>, std::array<char *, (uns…
      0.0          483,583        113      4,279.5      4,256.0      4,192      4,416         51.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          465,373        157      2,964.2      2,944.0      2,880      3,136         49.4  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          445,385        398      1,119.1      1,120.0      1,087      1,153         19.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.0          352,443        157      2,244.9      2,240.0      1,920      2,400         49.7  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.0           11,136         10      1,113.6      1,120.0      1,088      1,121         13.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…

