timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559220.611133207,7542, 8188, 38.25, 60, 0
1773559221.808911424,7544, 8188, 25.27, 61, 100
1773559223.022896725,7544, 8188, 40.99, 61, 100
1773559224.230316183,7544, 8188, 38.93, 61, 100
1773559225.428425253,7544, 8188, 39.49, 61, 100
1773559226.629147685,7544, 8188, 41.00, 61, 100
1773559227.823693881,7544, 8188, 39.19, 61, 100
1773559229.021403470,7544, 8188, 39.68, 62, 100
1773559230.223796058,7544, 8188, 40.94, 62, 100
1773559231.434807385,7544, 8188, 39.24, 62, 100
1773559232.642632439,7544, 8188, 39.79, 62, 100
1773559233.834255731,7544, 8188, 41.00, 62, 100
1773559235.033043266,7544, 8188, 38.90, 62, 100
1773559236.230097402,7544, 8188, 41.03, 62, 100
1773559237.425502236,7544, 8188, 40.63, 62, 100
1773559238.630548222,7544, 8188, 38.14, 62, 100
1773559239.825954252,7544, 8188, 42.17, 63, 100
1773559241.022397275,7544, 8188, 40.31, 63, 100
1773559242.213798775,7544, 8188, 29.61, 60, 0
1773559243.414149503,7548, 8188, 31.09, 63, 100
1773559244.614765710,7548, 8188, 42.35, 63, 100
