timestamp,memory_used_mib,memory_total_mib,power_draw_w,temperature_c,gpu_util_pct
1773559933.188113653,7640, 8188, 15.04, 58, 0
1773559934.381453559,7640, 8188, 14.97, 58, 0
1773559935.582638396,7640, 8188, 23.83, 61, 100
1773559936.791348242,7640, 8188, 48.43, 62, 100
1773559937.990498447,7640, 8188, 48.64, 63, 100
1773559939.188608973,7640, 8188, 48.62, 63, 100
1773559940.384968623,7640, 8188, 48.56, 64, 100
1773559941.584558780,7640, 8188, 48.71, 64, 100
1773559942.795051039,7640, 8188, 48.70, 65, 100
1773559944.009932246,7640, 8188, 48.76, 65, 100
1773559945.214737912,7640, 8188, 48.83, 66, 100
1773559946.429271327,7640, 8188, 48.93, 65, 100
1773559947.630669126,7640, 8188, 48.88, 66, 100
1773559948.841668141,7640, 8188, 48.91, 66, 100
1773559950.048318293,7640, 8188, 48.99, 67, 100
1773559951.246113181,7640, 8188, 48.94, 67, 100
1773559952.461708110,7640, 8188, 49.05, 67, 100
1773559953.672534622,7640, 8188, 49.06, 67, 100
1773559954.880811902,7640, 8188, 49.10, 68, 100
1773559956.089512664,7640, 8188, 49.26, 68, 100
1773559957.296536724,7640, 8188, 21.78, 63, 0
1773559958.487342196,7640, 8188, 15.56, 63, 0
1773559959.685948073,7640, 8188, 15.50, 62, 0
1773559960.875027179,7640, 8188, 15.44, 62, 0
1773559962.232612201,7640, 8188, 15.38, 61, 0
